position,handedness,player,pitcher,p_throws,lineup_spot,away_team,home_team,status,rating,team,playerid,FanDuel,DraftKings,pred_hr,pred_odds,diff,pick
2B,S,Xavier Edwards,Brandon Young,R,1,MIA,BAL,away,3.89,MIA,669364.0,1100.0,1600.0,11.1,801.0,799.0,0.0
RF,L,Jesus Sanchez,Brandon Young,R,2,MIA,BAL,away,7.84,MIA,660821.0,400.0,380.0,22.400000000000002,346.0,54.0,0.0
DH,R,Agustin Ramirez,Brandon Young,R,3,MIA,BAL,away,5.09,MIA,682663.0,400.0,425.0,14.6,585.0,-160.0,0.0
LF,L,Kyle Stowers,Brandon Young,R,4,MIA,BAL,away,8.08,MIA,669065.0,360.0,360.0,23.1,333.0,27.0,0.0
SS,R,Otto Lopez,Brandon Young,R,5,MIA,BAL,away,4.54,MIA,672640.0,560.0,650.0,13.0,669.0,-19.0,0.0
1B,L,Liam Hicks,Brandon Young,R,6,MIA,BAL,away,4.58,MIA,689414.0,680.0,750.0,13.100000000000001,663.0,87.0,0.0
CF,R,Dane Myers,Brandon Young,R,7,MIA,BAL,away,4.52,MIA,667472.0,,900.0,12.9,675.0,,0.0
2B,L,Jackson Holliday,Eury Perez,R,1,MIA,BAL,home,7.03,BAL,702616.0,430.0,425.0,20.1,398.0,32.0,0.0
DH,R,Jordan Westburg,Eury Perez,R,2,MIA,BAL,home,5.45,BAL,676059.0,340.0,350.0,15.6,541.0,-191.0,0.0
SS,L,Gunnar Henderson,Eury Perez,R,3,MIA,BAL,home,6.59,BAL,683002.0,400.0,330.0,18.8,432.0,-32.0,0.0
1B,L,Ryan O'Hearn,Eury Perez,R,4,MIA,BAL,home,6.19,BAL,656811.0,450.0,550.0,17.7,465.0,85.0,0.0
RF,R,Ramon Laureano,Eury Perez,R,5,MIA,BAL,home,4.8,BAL,657656.0,450.0,450.0,13.700000000000001,630.0,-180.0,0.0
LF,L,Colton Cowser,Eury Perez,R,6,MIA,BAL,home,6.79,BAL,681297.0,350.0,360.0,19.400000000000002,415.0,-55.0,0.0
CF,L,Cedric Mullins,Eury Perez,R,8,MIA,BAL,home,4.39,BAL,656775.0,400.0,390.0,12.6,694.0,-294.0,0.0
CF,L,Chandler Simpson,Brayan Bello,R,1,TB,BOS,away,3.24,TB,802415.0,1700.0,1500.0,9.3,975.0,725.0,0.0
1B,L,Jonathan Aranda,Brayan Bello,R,2,TB,BOS,away,6.3,TB,666018.0,600.0,550.0,18.0,456.0,144.0,0.0
DH,R,Yandy Diaz,Brayan Bello,R,3,TB,BOS,away,4.98,TB,650490.0,680.0,700.0,14.2,604.0,96.0,0.0
LF,S,Jake Mangum,Brayan Bello,R,4,TB,BOS,away,3.57,TB,663968.0,1100.0,1300.0,10.2,880.0,420.0,0.0
RF,L,Josh Lowe,Brayan Bello,R,5,TB,BOS,away,4.67,TB,666139.0,800.0,650.0,13.4,646.0,154.0,0.0
3B,R,Junior Caminero,Brayan Bello,R,6,TB,BOS,away,5.87,TB,691406.0,470.0,390.0,16.8,495.0,-25.0,0.0
C,L,Matt Thaiss,Brayan Bello,R,7,TB,BOS,away,5.0,TB,642136.0,,950.0,14.299999999999999,599.0,,0.0
SS,R,Ha-Seong Kim,Brayan Bello,R,8,TB,BOS,away,6.53,TB,673490.0,,900.0,18.7,435.0,,0.0
2B,S,Taylor Walls,Brayan Bello,R,9,TB,BOS,away,2.71,TB,670764.0,1000.0,950.0,7.8,1182.0,-182.0,0.0
LF,L,Jarren Duran,Ryan Pepiot,R,1,TB,BOS,home,6.42,BOS,680776.0,560.0,475.0,18.4,443.0,117.0,0.0
3B,R,Alex Bregman,Ryan Pepiot,R,2,TB,BOS,home,5.98,BOS,608324.0,400.0,400.0,17.1,485.0,-85.0,0.0
SS,R,Trevor Story,Ryan Pepiot,R,5,TB,BOS,home,5.06,BOS,596115.0,540.0,475.0,14.499999999999998,590.0,-50.0,0.0
CF,R,Ceddanne Rafaela,Ryan Pepiot,R,6,TB,BOS,home,6.04,BOS,678882.0,630.0,600.0,17.299999999999997,478.0,152.0,0.0
2B,L,Marcelo Mayer,Ryan Pepiot,R,7,TB,BOS,home,5.69,BOS,691785.0,680.0,650.0,16.3,513.0,167.0,0.0
1B,L,Michael Busch,Will Warren,R,1,CHC,NYY,away,8.2,CHC,683737.0,370.0,400.0,23.5,326.0,74.0,0.0
DH,L,Kyle Tucker,Will Warren,R,2,CHC,NYY,away,7.95,CHC,663656.0,340.0,370.0,22.7,341.0,29.0,0.0
RF,R,Seiya Suzuki,Will Warren,R,3,CHC,NYY,away,7.49,CHC,673548.0,360.0,390.0,21.4,367.0,23.0,0.0
CF,L,Pete Crow-Armstrong,Will Warren,R,4,CHC,NYY,away,7.88,CHC,691718.0,350.0,330.0,22.5,344.0,6.0,0.0
C,R,Carson Kelly,Will Warren,R,5,CHC,NYY,away,4.28,CHC,608348.0,,,12.2,720.0,,0.0
LF,S,Ian Happ,Will Warren,R,6,CHC,NYY,away,6.18,CHC,664023.0,450.0,425.0,17.7,465.0,-15.0,0.0
SS,R,Dansby Swanson,Will Warren,R,7,CHC,NYY,away,5.15,CHC,621020.0,560.0,550.0,14.7,580.0,-20.0,0.0
2B,R,Nico Hoerner,Will Warren,R,8,CHC,NYY,away,3.12,CHC,663538.0,1200.0,1300.0,8.9,1024.0,276.0,0.0
1B,R,Paul Goldschmidt,Shota Imanaga,L,1,CHC,NYY,home,6.49,NYY,502671.0,370.0,320.0,18.6,438.0,-68.0,0.0
CF,L,Cody Bellinger,Shota Imanaga,L,2,CHC,NYY,home,5.43,NYY,641355.0,450.0,425.0,15.5,545.0,-95.0,0.0
RF,R,Aaron Judge,Shota Imanaga,L,3,CHC,NYY,home,11.34,NYY,592450.0,124.0,145.0,32.4,209.0,-64.0,0.0
